FCG J101436.3+494531   10 14 35.732  +49 45 25.29   1.28    v? 10 14 36.380 +49 45 31.59 203630                      wat int
FCG J101442.1+003801   10 14 42.719  +00 38 07.00   0.46    v  10 14 42.139 +00 38 01.53 203798                      nat
FCG J101601.8+240009   10 16 02.358  +24 00 16.08   0.72    v  10 16 01.841 +24 00 09.81 205284                      wat
FCG J101801.6+635228   10 18 00.892  +63 52 28.02   0.67    v  10 18 01.677 +63 52 28.66 207481                      wat
FCG J101932.3+140252   10 19 31.666  +14 02 50.17   0.72    v? 10 19 32.314 +14 02 52.54 209237                      wat
FCG J102000.7+171452   10 20 00.825  +17 14 56.12   0.63    c  10 20 00.753 +17 14 52.39 209776                      wat
FCG J102216.4-042053   10 22 16.817  -04 20 54.12   1.00    v  10 22 16.493 -04 20 53.04 212319                      nat
FCG J102228.2+165315   10 22 27.786  +16 53 20.71   0.36    v  10 22 28.223 +16 53 15.38 212537                      nat dd?
FCG J102255.3+421641   10 22 54.746  +42 16 33.24   0.44    v  10 22 55.315 +42 16 41.92 213050                      nat
FCG J102501.9+040141   10 25 01.289  +04 01 52.95   0.70    v  10 25 01.919 +04 01 41.16 215453                      nat
FCG J102945.0+252310   10 29 44.855  +25 23 25.19   0.76    c? 10 29 45.085 +25 23 10.94 220579                      nat distorted ring?
FCG J103502.6+425548   10 35 02.823  +42 55 39.34   1.38    c  10 35 02.623 +42 55 48.59 226323                      wat dd
FCG J103737.0+362520   10 37 37.383  +36 25 24.49   0.48    c  10 37 37.089 +36 25 20.91 229090                      nat
FCG J103836.6+011747   10 38 36.778  +01 17 55.90   1.14    v  10 38 36.673 +01 17 47.25 230293                      wat int
FCG J103938.8+553746   10 39 38.908  +55 37 42.77   0.34    v  10 39 38.880 +55 37 46.56 231420                      nat
FCG J103946.8-064521   10 39 47.003  -06 45 27.39   0.57    v? 10 39 46.898 -06 45 21.10 231608                      nat
FCG J104104.1+335520   10 41 04.552  +33 55 11.71   1.53    c  10 41 04.120 +33 55 20.70 232993                      nat
FCG J104254.6+290717   10 42 54.122  +29 07 17.54   0.51    c  10 42 54.697 +29 07 17.22 235039                      wat dd int
FCG J104501.7+125800   10 45 01.245  +12 58 05.83   0.42    v  10 45 01.729 +12 58 00.33 237336                      nat
FCG J104516.2+235140   10 45 16.800  +23 51 45.21   0.45    c  10 45 16.222 +23 51 40.51 237623                      nat
FCG J104646.7+121038   10 46 46.909  +12 10 45.59   0.35    v  10 46 46.755 +12 10 38.77 239251                      nat dd
FCG J104742.7+434651   10 47 42.793  +43 47 00.35   1.99    c  10 47 42.771 +43 46 51.86 240181                      nat/wat
FCG J104759.2+151559   10 47 59.184  +15 16 06.34   1.34    c  10 47 59.239 +15 15 59.41 240488                      nat int
FCG J104914.0+005945   10 49 14.460  +00 59 52.86   1.20    c? 10 49 14.070 +00 59 45.18 241922                      nat/wat w dd hook
FCG J104934.3+444553   10 49 33.759  +44 45 47.35   0.86    v  10 49 34.341 +44 45 53.09 242286                      wat
FCG J104955.7+461912   10 49 54.982  +46 19 25.55   1.11    c  10 49 55.710 +46 19 12.20 242691                      nat hook distorted
FCG J105129.8+050325   10 51 30.505  +05 03 11.56   0.68    v? 10 51 29.822 +05 03 25.71 244518                      nat dd
FCG J105138.3+580754   10 51 39.593  +58 07 53.30   0.39    v  10 51 38.388 +58 07 54.60 244676                      nat
FCG J105229.1+114536   10 52 28.879  +11 45 46.66   0.36    v  10 52 29.130 +11 45 36.57 245581                      nat arc?
FCG J105402.7-020917   10 54 02.976  -02 09 03.02   1.53    v? 10 54 02.767 -02 09 17.95 247345                      nat distorted int dd?
FCG J105501.0+520156   10 55 00.986  +52 02 01.30   0.65    v  10 55 01.052 +52 01 56.39 248402                      nat/wat w
FCG J110220.7-061419   11 02 21.571  -06 13 55.73   0.91    v? 11 02 20.737 -06 14 19.50 256226                      nat dd?
FCG J110444.4+472657   11 04 43.891  +47 26 54.11   0.75    c  11 04 44.421 +47 26 57.37 258879                      nat
FCG J110555.0-000342   11 05 55.111  -00 03 33.63   1.20    v  11 05 55.054 -00 03 42.00 260184                      wat
FCG J111140.4+404707   11 11 39.614  +40 47 20.83   1.25    c  11 11 40.488 +40 47 07.17 266811                      nat
FCG J111833.4+311515   11 18 34.177  +31 15 24.16   0.95    v  11 18 33.441 +31 15 15.53 274426                      wat
FCG J111931.3+020729   11 19 31.796  +02 07 30.61   0.86    v  11 19 31.376 +02 07 29.82 275456                      nat/wat
FCG J111933.1+631718   11 19 34.709  +63 17 15.14   1.27    c  11 19 33.174 +63 17 18.35 275474                      nat/wat
FCG J111946.5+375053   11 19 47.049  +37 50 53.97   0.48    v  11 19 46.584 +37 50 53.17 275751                      nat unu int
FCG J112038.5+291234   11 20 40.516  +29 12 26.04   1.53    c  11 20 38.534 +29 12 34.39 276641                      wat
FCG J112117.9-001327   11 21 18.271  -00 13 34.92   1.03    v? 11 21 17.996 -00 13 27.56 277358                      nat
FCG J112446.8+285705   11 24 46.441  +28 57 06.27   0.89    c  11 24 46.870 +28 57 05.89 281151                      nat
FCG J112502.1+091003   11 25 01.693  +09 10 04.31   0.98    c  11 25 02.190 +09 10 03.59 281431                      nat/wat
FCG J112656.2+400341   11 26 55.744  +40 03 32.70   0.78    c? 11 26 56.249 +40 03 41.24 283549                      wat
FCG J112924.0+210113   11 29 23.701  +21 01 19.62   1.59    c  11 29 24.043 +21 01 13.38 286367                      wat
FCG J113122.8+212600   11 31 22.875  +21 26 08.21   0.36    v  11 31 22.838 +21 26 00.90 288639                      nat ring
FCG J113130.8+012834   11 31 31.511  +01 28 45.22   0.55    v  11 31 30.847 +01 28 34.70 288833                      nat
FCG J113359.2+490344   11 33 56.439  +49 03 51.89   1.91    c? 11 33 59.249 +49 03 44.57 291462                      nat
FCG J113828.5+155450   11 38 28.364  +15 54 58.05   0.42    v  11 38 28.538 +15 54 50.57 296426                      wat
FCG J113843.2+334324   11 38 43.859  +33 43 28.00   0.62    *  11 38 43.232 +33 43 24.40 296694                      nat     mg, if separate systems
FCG J113848.3+334315   11 38 48.333  +33 43 14.67   2.31    v  11 38 48.396 +33 43 15.46 296694                      wat/nat mg very int curiosity, if multiple systems
FCG J113848.4+334315   11 38 48.333  +33 43 14.67   0.32    v  11 38 48.459 +33 43 15.46 296694                      wat     mg, if separate systems
FCG J113851.3+334259   11 38 52.554  +33 42 55.83   0.63    c  11 38 51.314 +33 42 59.01 296694                      wat/nat mg, if separate systems
FCG J114019.6+535035   11 40 19.335  +53 50 30.74   1.36    v? 11 40 19.693 +53 50 35.45 298409                      nat
FCG J114111.2+054359   11 41 10.972  +05 43 51.66   0.90    c? 11 41 11.273 +05 43 59.39 299419                      wat
FCG J114340.1+072957   11 43 40.144  +07 29 51.36   1.88    v? 11 43 40.144 +07 29 57.65 302092                      wat
FCG J114553.0-075755   11 45 52.843  -07 57 52.74   0.37    c  11 45 53.065 -07 57 55.32 304640                      wat starwars?
FCG J114928.9+491136   11 49 29.528  +49 11 32.10   0.44    v  11 49 28.964 +49 11 36.79 308658                      nat
FCG J115146.9+042223   11 51 46.641  +04 22 07.58   1.07    v  11 51 46.940 +04 22 23.14 311231                      nat dd
FCG J115237.4+422905   11 52 35.637  +42 29 04.33   0.84    v? 11 52 37.413 +42 29 05.19 312173                      nat
FCG J115243.3+340530   11 52 43.295  +34 05 34.97   0.32    c? 11 52 43.313 +34 05 30.66 312362                      wat unu
FCG J115424.4+020651   11 54 24.515  +02 06 43.85   0.72    v  11 54 24.410 +02 06 51.71 314321                      nat
FCG J115505.0+212624   11 55 05.531  +21 26 30.32   0.53    c  11 55 05.085 +21 26 24.47 315071                      nat
FCG J115513.4-003137   11 55 13.492  -00 31 52.82   0.82    v  11 55 13.440 -00 31 37.10 315199                      nat
FCG J115548.9+105938   11 55 49.530  +10 59 30.51   0.47    c  11 55 48.925 +10 59 38.90 315895                      nat
FCG J120045.6+294249   12 00 45.909  +29 42 39.34   2.11    v  12 00 45.669 +29 42 49.56 321320                      nat/wat
FCG J120126.0-070314   12 01 26.693  -07 03 10.08   0.72    v  12 01 26.060 -07 03 14.02 322106                      nat, core id ambiguous
FCG J120204.1+580209   12 02 04.898  +58 01 45.61   1.12    v? 12 02 04.194 +58 02 09.96 322776                      wat
FCG J120226.7+121653   12 02 26.663  +12 16 46.78   0.54    v  12 02 26.716 +12 16 53.85 323217                      nat
FCG J120401.5+201356   12 04 01.660  +20 13 21.48   3.62    c? 12 04 01.594 +20 13 56.19 324943                      wat/nat int
FCG J120430.2+375734   12 04 31.685  +37 57 25.11   1.12    v  12 04 30.286 +37 57 34.48 325533                      wat ring-lobe?
FCG J120432.1+035806   12 04 32.275  +03 58 16.53   0.66    v  12 04 32.165 +03 58 06.87 325546                      wat
FCG J120458.8+455933   12 04 59.591  +45 59 36.76   0.86    v  12 04 58.838 +45 59 33.59 326062                      wat
FCG J120619.8+034700   12 06 20.268  +03 46 51.28   0.38    c? 12 06 19.878 +03 47 00.45 327581                      nat
