FCG J163702.1+413020   16 37 02.185  +41 30 20.91   1.00                                 618723                      sz
FCG J164222.7+450105   16 42 22.774  +45 01 05.78   0.51                                 623247                      b?
FCG J164318.5+264230   16 43 18.532  +26 42 30.66   0.60                                 623903                      sz
FCG J164619.6+554956   16 46 19.642  +55 49 56.77   0.56                                 626116                      sz
FCG J164705.0+515410   16 47 05.044  +51 54 10.32   0.85                                 626654                      w td?
FCG J164928.4+413340   16 49 28.455  +41 33 40.12   0.67                                 628498                      
FCG J164948.2+165145   16 49 48.289  +16 51 45.95   0.80                                 628743                      b x? fans
FCG J165857.0+340822   16 58 57.064  +34 08 22.30   0.74                                 635304                      sz?
FCG J165952.6+260235   16 59 52.690  +26 02 35.91   0.88                                 635963                      
FCG J170035.6+485108   17 00 35.687  +48 51 08.42   0.97                                 636419                      
FCG J170202.0+531241   17 02 02.015  +53 12 41.95   2.31                                 637334                      sz??
FCG J170304.7+553300   17 03 04.757  +55 33 00.51   0.85                                 638125                      
FCG J170502.0+283907   17 05 02.031  +28 39 07.75   0.38                                 639481                      
FCG J170518.1+394033   17 05 18.151  +39 40 33.10   1.71                                 639604                      td? sz?
FCG J170616.4+200645   17 06 16.454  +20 06 45.43   0.75                                 640262                      wat
FCG J170625.5+434037   17 06 25.510  +43 40 37.73   1.84                                 640321                      sz? dl?
FCG J170650.7+381620   17 06 50.791  +38 16 20.17   1.40                                 640617                      mg ppd
FCG J171036.5+461107   17 10 36.504  +46 11 07.96   1.20                                 642897                      x sz?
FCG J171041.6+423944   17 10 41.669  +42 39 44.80   1.27                                 642952                      nat
FCG J171317.4+581243   17 13 17.450  +58 12 43.23   0.39                                 644443                      sz dl
FCG J171626.8+502346   17 16 26.880  +50 23 46.97   0.54                                 646306                      sz catalog missed lobe
FCG J172050.5+301537   17 20 50.540  +30 15 37.05   0.91                                 648810                      sz? dl?
FCG J172308.1+301715   17 23 08.146  +30 17 15.65   1.25                                 649852                      sz int
FCG J172506.7+345214   17 25 06.746  +34 52 14.39   1.03                                 650764                      mg sz? parallel
FCG J172708.6+372714   17 27 08.624  +37 27 14.64   1.13                                 651675                      wat?
FCG J172814.0+485519   17 28 14.052  +48 55 19.46   1.06                                 652083                      sz?
FCG J172856.9+442136   17 28 56.934  +44 21 36.18   1.04                                 652351                      
FCG J173249.5+563426   17 32 49.530  +56 34 26.83   0.58                                 653620                      sz? arc?
FCG J173334.2+434257   17 33 34.279  +43 42 57.65   0.66                                 653855                      sz
FCG J214346.0-085833   21 43 46.076  -08 58 33.23   0.78                                 659679                      jet/tail?
FCG J214900.9-000422   21 49 00.956  -00 04 22.55   0.56                                 660337                      sz?
FCG J215127.8-000513   21 51 27.882  -00 05 13.30   0.68                                 660640                      nat?
FCG J225951.5-092548   22 59 51.550  -09 25 48.96   1.30                                 669046                      
FCG J231541.6-002609   23 15 41.658  -00 26 09.78   0.84                                 670984                      sz? nat? dl?
FCG J232208.2-094152   23 22 08.206  -09 41 52.78   0.52                                 671777                      sz
FCG J235355.1+001254   23 53 55.175  +00 12 54.65   1.34                                 675669                      sz dl?
