index,SDSS1,Plate1,Fiber1,MJD1,z1,sep1,rp1,dV1,rmag1,FAGN1,FTid1,RA1,Dec1,GroupID,GroupNum1,ComponentID1,SDSS2,Plate2,Fiber2,MJD2,z2,sep2,rp2,dV2,rmag2,FAGN2,FTid2,RA2,Dec2,GroupNum2,ComponentID2,Sep,Sep(kpc),ratio,dV_rwp,z1_type,z2_type,Paper(s),BibCode(s),DOI(s),rat
43,J012129.27+003732.6,1551,344,53327,0.0439,4.0,3.5,44,14.7,5,2,01:21:29.27,+00:37:32.6,44,2,1,J012129.32+003728.7,399,350,51817,0.0437,4.0,3.5,44,16.93,2,2,01:21:29.32,+00:37:28.7,2,2,3.9714522572253443,3.433225636312148,1.22002971545177,57.2906681846544,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.8644761195519877
44,J012154.53-100815.8,660,22,52177,0.1046,16.4,31.4,4,16.85,0,1,01:21:54.53,-10:08:15.8,224,2,1,J012155.59-100811.6,661,225,52163,0.1046,16.4,31.4,4,16.81,1,1,01:21:55.59,-10:08:11.6,2,2,16.20550914665906,31.09820982701459,1.22002971545177,0.0,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.9189899894892113
45,J012612.09-000126.9,697,312,52226,0.1048,4.2,8.0,234,17.44,2,2,01:26:12.09,-00:01:26.9,53,2,1,J012612.34-000128.7,1501,172,53740,0.1039,4.2,8.0,234,17.65,0,2,01:26:12.34,-00:01:28.7,2,2,4.159627080866065,7.995715113494972,1.22002971545177,243.67270821635958,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.9222192177454054
46,J013705.74-090937.3,663,399,52145,0.0691,43.7,58.3,239,16.69,1,1,01:37:05.74,-09:09:37.3,530,2,1,J013706.95-090857.5,662,558,52147,0.0699,43.7,58.3,239,15.31,0,1,01:37:06.95,-09:08:57.5,2,2,43.64772134114072,57.65264522408097,1.22002971545177,-223.65588269335603,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.320862657949104
47,J013848.33-000221.1,401,280,51788,0.0742,34.6,48.9,129,17.42,2,0,01:38:48.33,-00:02:21.1,429,2,1,J013848.45-000255.7,698,171,52203,0.0738,34.6,48.9,129,17.87,0,0,01:38:48.45,-00:02:55.7,2,2,34.646789145340406,48.84940912564243,1.22002971545177,111.35940023511519,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.4099260084599243
48,J014402.61-000708.9,401,113,51788,0.0794,55.0,82.5,3,17.4,0,0,01:44:02.61,-00:07:08.9,620,2,1,J014405.76-000737.3,401,108,51788,0.0794,55.0,82.5,3,17.54,2,0,01:44:05.76,-00:07:37.3,2,2,55.12814339020118,82.67171364604741,1.22002971545177,0.0,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.4996281130110032
49,J015232.94-005745.9,1504,93,52940,0.0598,2.3,2.7,69,17.74,2,1,01:52:32.94,-00:57:45.9,7,2,1,J015233.06-005744.3,402,138,51793,0.06,2.3,2.7,69,16.27,2,1,01:52:33.06,-00:57:44.3,2,2,2.4081290885020334,2.782916097272131,1.22002971545177,-56.4204165182393,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.1556341022412682
50,J015235.35-083236.6,665,463,52168,0.0517,58.5,58.9,157,16.49,1,0,01:52:35.35,-08:32:36.6,677,2,1,J015235.99-083138.9,665,466,52168,0.0511,58.5,58.9,157,14.87,1,0,01:52:35.99,-08:31:38.9,2,2,58.47580525624682,58.98438985356426,1.22002971545177,170.62962278306637,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.0086973508973287
51,J015303.50+010123.0,402,580,51793,0.0595,77.0,88.5,198,16.35,1,0,01:53:03.50,+01:01:23.0,924,2,1,J015308.29+010150.7,700,444,52199,0.0602,77.0,88.5,198,15.54,2,0,01:53:08.29,+01:01:50.7,2,2,76.99385920402237,88.56162556420838,1.22002971545177,-197.48075404515944,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.1502427138966127
52,J015343.54+001111.0,1075,354,52933,0.0806,10.2,15.7,418,15.87,2,2,01:53:43.54,+00:11:11.0,155,2,1,J015343.83+001101.8,402,637,51793,0.0821,10.2,15.7,418,15.96,2,2,01:53:43.83,+00:11:01.8,2,2,10.176556514038962,15.470110345944425,1.22002971545177,-414.75912909724025,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.5201714179646912
