NDWFS J143140.72+330317.3 0.1926   26.8  24.6  -20.4  15.1    4.0  14.8  2.75 0.30 0.69 0.08  0.17 0.18 0.16 0.31
NDWFS J143142.75+335017.6 0.2250  -26.5  27.1   26.9  15.8  -25.0  16.5  5.72 0.55 1.00 0.05  0.54 0.16 0.07 0.05
NDWFS J143149.44+343437.4 0.3134  -52.8  26.9 -149.4  22.5  -95.6  23.0  2.31 0.16 0.59 0.04  0.13 0.11 0.17 0.08
NDWFS J143150.64+330311.3 0.2549   55.1  33.7   38.1  31.2  -39.0  21.3  2.84 0.53 1.21 0.19  0.81 0.53 0.18 0.16
NDWFS J143155.37+342321.7 0.3402  -39.1  18.3  -19.4 110.9  -61.9  16.7  3.89 0.28 0.57 0.09  1.27 0.35 0.32 0.38
NDWFS J143158.50+342514.8 0.2336   83.9  25.0   13.3  12.2   16.9  15.8  7.60 1.77 1.18 0.25  0.89 0.28 0.27 0.55
NDWFS J143201.54+333410.4 0.2543  -48.5  21.6   58.3  17.7  -41.3  15.2  1.87 0.18 0.71 0.04  0.28 0.15 0.06 0.13
NDWFS J143208.27+353255.5 0.0834 -238.6  86.7 -217.3   3.6 -150.4   8.0  7.46 0.01 1.31 0.04  0.44 0.34 0.12 1.52 Seyfert
NDWFS J143208.27+353255.5 0.0834  126.6  87.1  148.0   3.0  184.8   8.1  6.13 0.27 1.46 0.05  0.52 0.41 0.05 2.00 Seyfert
NDWFS J143208.63+342942.7 0.2643  -17.6  22.2  -55.8  16.9   -1.1  20.5  2.40 0.12 0.84 0.04  0.91 0.16 0.43 0.15
NDWFS J143210.24+342247.3 0.2652   30.3  63.3  -45.0  66.0  -29.4  31.6  1.49 0.34 1.13 0.18  0.85 0.27 0.53 0.29
NDWFS J143217.06+345228.2 0.1720 -171.1  49.0 -372.0  29.8 -186.6  43.5  3.40 1.77 0.98 0.44  0.35 0.19 0.07 0.08
NDWFS J143219.66+331015.1 0.1959   25.5  48.1   35.0  17.2   16.9  24.7  5.00 0.64 0.81 0.09  0.45 0.23 0.23 0.28
NDWFS J143223.72+341147.1 0.1790  -87.1 115.9 -149.0 167.4  -44.2  60.0  2.86 1.18 0.83 0.11  0.97 1.02 0.07 0.15
NDWFS J143232.51+340625.5 0.0420  -55.8  30.1  -53.8  30.0  -75.4  30.3  3.27 0.16 0.60 0.02  0.36 0.01 0.06 0.01
NDWFS J143237.75+332447.9 0.3231  -43.2  58.0   20.1  42.9  -34.9  27.0 12.47 3.07 1.06 0.13  0.33 0.26 0.12 0.09
NDWFS J143245.94+351154.5 0.1929  -50.5 102.8   47.0  70.4  -29.8  45.4  3.39 1.32 0.53 0.14  0.20 0.44 0.01 0.03
NDWFS J143249.13+341444.8 0.2740   72.7  76.2  -36.7  14.9  -10.3  44.5  2.39 0.24 1.13 0.10  0.15 0.29 0.11 0.24
NDWFS J143252.43+341444.2 0.1612  -21.8  19.0  -15.9  18.7  -45.1  18.5  4.11 0.35 0.70 0.02  0.76 0.09 0.14 0.07
NDWFS J143300.57+343648.4 0.1505 -192.1  19.5 -166.8  18.8 -190.5  18.3  4.87 0.21 1.00 0.04  0.40 0.06 0.07 0.03
NDWFS J143302.63+335442.8 0.1757  -28.7  16.8  -47.7  16.4  -39.5  16.3  6.30 1.17 0.74 0.10  0.64 0.09 0.11 0.04
NDWFS J143304.00+340353.3 0.2642  -57.7  28.2  -85.4  25.5  -17.4  26.9  2.99 0.31 0.43 0.03  0.41 0.09 0.13 0.05
NDWFS J143304.20+351056.0 0.2844  -35.6  50.0  -58.5  19.8   21.0  21.7  4.52 0.81 0.67 0.08  0.80 0.45 0.06 0.07
NDWFS J143316.48+353259.3 0.1994 -102.4  22.5  -93.3  14.3 -107.4  13.8  3.10 0.36 0.41 0.04  0.39 0.26 0.11 0.19 Seyfert
NDWFS J143317.07+344912.0 0.3637 -132.7  29.9 -158.6  30.2 -138.2  29.7  4.23 1.41 0.41 0.03  0.86 0.18 0.07 0.09 ambiguous b
NDWFS J143324.34+333818.7 0.3278  -12.5  29.7  -20.7  16.7   -3.1  24.5  3.52 0.61 0.43 0.10  7.30 0.76 0.54 0.26
NDWFS J143340.95+335757.8 0.3277  -36.8  57.3   86.7  25.1   35.2  30.8  2.37 0.52 0.76 0.16  0.09 0.08 0.13 0.14
NDWFS J143346.00+351926.6 0.1932  -18.5  45.4  -21.3  16.8  -24.1  29.6  4.74 1.10 0.24 0.09  0.36 0.28 0.07 0.06
NDWFS J143358.53+330323.7 0.2414  -15.6  28.1  -20.3  16.2  -19.6  15.1  3.33 0.39 1.19 0.06  0.66 0.17 0.04 0.08
NDWFS J143359.71+351020.5 0.3372 -190.6  79.8 -156.2  29.4 -146.9 114.3  3.16 0.23 0.80 0.41  1.08 2.25 0.25 3.14 LINER
NDWFS J143359.71+351020.5 0.3372   57.7  79.2   92.2  28.6   60.2 106.7  2.81 0.26 0.80 0.36  0.58 1.73 0.15 3.13 Seyfert
NDWFS J143400.03+350856.7 0.2218   31.7 110.5    1.9  25.2   11.6  51.4 13.81 6.10 0.67 0.13  0.57 0.47 0.47 0.26
NDWFS J143406.24+353137.5 0.1600  -40.9  20.1   -3.9  14.6  -24.5  16.6  2.73 0.20 0.87 0.06  0.58 0.18 0.05 0.08
NDWFS J143407.32+332917.2 0.3288  -27.0  23.8  -54.7  20.3    6.3  17.6  2.03 0.32 0.74 0.09  0.39 0.23 0.07 0.14
NDWFS J143409.53+334648.9 0.2124    0.0  26.8    0.0  26.8    0.0  26.8 10.68 0.16 0.34 0.01  0.24 0.01 0.06 0.01
NDWFS J143410.38+334116.0 0.3273  203.1  31.4  221.6  18.4  147.7  22.7 13.46 1.51 0.57 0.09  0.04 0.14 0.18 0.13
