214410.62-010113.4 0.3560 0990 087 52465  -242  17  -242
214652.71+113030.8 0.5346 0733 265 52207  -363  50  -346
220514.24-004037.1 0.6947 1105 256 52937   684 167   673
220537.71-071114.5 0.2950 0717 532 52468  -467 153   779
222315.11-002610.5 0.2928 0375 190 52140   208  64   262
222741.20-004003.9 0.6596 0673 197 52162  -278  92  -335
222749.22+000042.8 0.5543 0375 628 52140  -118  30  -212
223533.08-081322.0 0.4571 0722 332 52224  -234  60  -244
224903.28-080841.7 0.4576 0723 569 52201  -255 172   585
224936.91+231840.4 0.5220 2261 639 53612  -190  31  -174
225314.50-082859.6 0.4087 0724 367 52254   500 150   525
230248.88+134553.4 0.3819 0742 109 52263   305  85   325
230323.47-100235.3 0.1809 0725 170 52258   -10  25   -78
230845.60-091123.9 0.1930 0725 632 52258   242 150   833
232124.43+134930.1 0.5634 0745 212 52258 -4161 118  -823
234852.50-091400.7 0.4617 0648 609 52559   431  75   451
235708.87+000702.2 0.5791 0684 592 52523   375 120   376
