Name1,z1,imag1,Name2,z2,imag2,theta,Com,z1_type,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,dV
SDSSJ142931.29+261654.1,1.403,18.18,SDSSJ142931.17+261638.5,-99.0,19.11,15.73,no lensing object,spec,-99,14:29:31.29,+26:16:54.1,14:29:31.17,+26:16:38.5,217.380375,26.281694444444444,217.37987499999997,26.27736111111111,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,15.73,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ143226.30+080730.4,1.729,18.94,SDSSJ143226.44+080741.2,2.125,19.87,10.97,QSO pair,spec,spec,14:32:26.30,+08:07:30.4,14:32:26.44,+08:07:41.2,218.10958333333332,8.125111111111112,218.11016666666663,8.128111111111112,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,10.97,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-40268.07403166872
SDSSJ144035.91+224023.2,1.599,18.37,SDSSJ144036.12+224028.8,-99.0,17.99,6.26,no lensing object,spec,-99,14:40:35.91,+22:40:23.2,14:40:36.12,+22:40:28.8,220.149625,22.673111111111112,220.15049999999997,22.674666666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,6.26,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ144147.28+223346.3,1.458,18.97,SDSSJ144147.68+223328.5,-99.0,19.45,18.6,no lensing object,spec,-99,14:41:47.28,+22:33:46.3,14:41:47.68,+22:33:28.5,220.447,22.56286111111111,220.44866666666664,22.557916666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,18.6,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ145030.61+214818.1,2.09,18.99,SDSSJ145031.34+214804.1,-99.0,19.54,17.33,no lensing object,spec,-99,14:50:30.61,+21:48:18.1,14:50:31.34,+21:48:04.1,222.62754166666664,21.805027777777777,222.63058333333333,21.80113888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,17.33,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ145103.50+221551.0,1.509,18.74,SDSSJ145103.92+221536.3,1.554,19.51,15.83,QSO pair,spec,spec,14:51:03.50,+22:15:51.0,14:51:03.92,+22:15:36.3,222.7645833333333,22.264166666666668,222.7663333333333,22.260083333333334,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,15.83,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-5314.610777331315
SDSSJ145224.60+090424.2,1.873,18.73,SDSSJ145224.19+090436.3,-99.0,19.04,13.56,no lensing object,spec,-99,14:52:24.60,+09:04:24.2,14:52:24.19,+09:04:36.3,223.10249999999996,9.07338888888889,223.10079166666665,9.07675,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,13.56,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ150429.73+070619.8,2.116,19.05,SDSSJ150430.23+070626.6,-99.0,17.89,10.01,no lensing object,spec,-99,15:04:29.73,+07:06:19.8,15:04:30.23,+07:06:26.6,226.12387499999997,7.105499999999999,226.1259583333333,7.107388888888888,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,10.01,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ150506.13+080604.5,1.249,18.43,SDSSJ150506.26+080623.2,2.154,19.37,18.81,QSO pair,spec,spec,15:05:06.13,+08:06:04.5,15:05:06.26,+08:06:23.2,226.27554166666664,8.10125,226.27608333333333,8.106444444444444,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,18.81,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-97431.18472779405
SDSSJ151245.20+092939.8,1.638,18.12,SDSSJ151245.47+092935.7,-99.0,19.28,5.72,no lensing object,spec,-99,15:12:45.20,+09:29:39.8,15:12:45.47,+09:29:35.7,228.1883333333333,9.494388888888889,228.18945833333328,9.49325,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.72,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
