Name,Selection Method,Confirmation Method,RAdeg,DEdeg,Num_comp,i_mag,Sep(as),Rank,Confirmation_flag,Notes
143154+530033,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",217.973863,53.009266,3,18.09,4.3,C,2,p-l; includes SDSS z=1.389 QSO + star; third component has large pm included in the Delchambre et al. (2019) Gaia clusters catalogue
143245-273713,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",218.188947,-27.620192,2,17.78,3.0,C,2,similar colour p-l; companion has large pm
144145+023743,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",220.437914,2.628697,2,19.13,1.1,C,2,similar colour p-l; SQLS z=1.160 QSO + star
144245+041619,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",220.689582,4.271996,2,19.27,3.0,C,2,p-l; includes SDSS z=2.012 QSO; SQLS candidate; companion has large pm
144303+260329,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",220.763978,26.058137,2,17.98,3.5,C,2,similar colour p-l; includes SDSS z=0.257 Seyfert 1; companion has large pm
145115+052936,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",222.813312,5.493197,2,16.20,2.3,C,2,similar colour p-l; includes SDSS z=2.052 QSO; SQLS candidate; companion has large pm
145232-052947,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",223.134353,-5.496432,2,18.04,2.9,C,2,p-l + red inner component; companion has large pm
145647-091751,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",224.197573,-9.297562,2,17.99,3.0,C,2,similar colour p-l; companion has large p and pm
150925+113851,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",227.35556,11.647604,2,19.37,2.5,C,2,similar colour p-l; includes SDSS star; only one component has Gaia p and pm; negligible values
151044-074043,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",227.684808,-7.678621,2,18.27,2.5,C,2,similar colour p-l; companion has large pm
151205+182706,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",228.018788,18.451666,2,17.76,2.5,C,2,similar colour p-l; companion has large pm
