|plate|fiber|  mjd|     z|  amp1|      vel1|  sig1|     amp2|      vel2|  sig2|  amp3|      vel3|  sig3|  amp4|  vel4|  sig4|  fwhm|  fwqm|    w50|    w80|    w90|     relasym|  r9050|  dp|
| long| long| long|double|double|    double|double|   double|    double|double|double|    double|double|double|double|double|double|double| double| double| double|      double| double|long|
|     |     |     |      |      |          |      |         |          |      |      |          |      |      |      |      |      |      |       |       |       |            |       |    |
| null| null| null|  null|  null|      null|  null|     null|      null|  null|  null|      null|  null|  null|  null|  null|  null|  null|   null|   null|   null|        null|   null|null|
  3744   551 55209 0.6159   11.0     -37.57  145.2     5.374      224.5  92.91    0.0        0.0    0.1    0.0    0.0    0.1  486.1  620.4   259.9   459.5   565.4    0.0240538 2.17545    0 
  3745    92 55234 0.4275  0.302    -2000.0 1427.0      22.8     -22.27  202.8  7.133     -34.69  518.4    0.0   -0.0    0.1  561.5  864.6   417.2   994.3  1601.4    -0.208642 3.83845    0 
  3751   225 55234 0.2082  2.591      63.22  176.2     9.843     -2.954   92.7    0.0        0.0    0.1    0.0    0.0    0.1  243.9  360.8  154.22   312.2   426.3     0.125452 2.76423    0 
  3751   824 55234 0.2888   14.3      -13.2  379.8     6.366     -388.0  652.6  173.6     -4.813  137.2    0.0   -0.0    0.1  345.7  505.9  243.69   571.9   991.1    -0.284068 4.06705    0 
  3753   233 55486 0.4992  10.37     -90.11  278.4     7.042      51.47  90.36 0.4549      392.3  781.6    0.0   -0.0    0.1  487.7  791.6   358.0   747.1  1063.8    0.0317165 2.97151    0 
  3753   798 55486 0.5703  9.721      152.1  104.6     26.96     -51.04  118.3    0.0       -0.0    0.1    0.0   -0.0    0.1  353.8  495.7  200.57   375.5   474.2    0.0697765 2.36426    0 
  3754   661 55488 0.5619  1.413     -325.0  526.6     5.751      155.0  100.9  3.699     -91.69  238.8    0.0   -0.0    0.1  516.1  841.0   458.8   901.9  1235.3    -0.385024 2.69246    0 
  3755   309 55504 0.4106  1.335       72.8  437.5      18.5     -129.8  96.01  18.04      133.6  106.9    0.0    0.0    0.1  500.9  613.3   285.6   484.2   622.3    0.0512293 2.17892    2 
  3757    13 55508 0.4957  5.457     -41.03  500.8     37.77     -45.31  193.3    0.0       -0.0    0.1    0.0   -0.0    0.1  492.5  722.2   320.6   665.3   967.4   0.00489973 3.01747    0 
  3757   884 55508 0.0692  240.7      34.89  259.5     635.3      49.95  109.3   11.4     -198.3  584.1    0.0    0.0    0.1  310.5  483.0  221.59   495.3   730.4   -0.0784775 3.29618    0 
